V	P(T1)	P(T2)	P(T3)	P(T4)
0.2	NULL	62.8	83.9	126.9
0.25	NULL	58.0	73.5	105.9
0.3	NULL	53.1	65.2	91.0
0.35	30.4	48.6	58.5	79.9
0.4	29.4	44.6	53.0	71.2
0.45	28.1	41.2	48.4	64.2
0.5	26.8	38.2	44.5	58.5
0.55	25.5	35.5	41.2	53.7
0.6	24.2	33.2	38.3	49.6
0.65	23.0	31.2	35.8	46.1	
0.7	21.9	29.4	33.6	43.1
0.75	20.9	27.7	31.7	40.4
0.8	19.9	26.3	29.9	38.1
0.85	19.0	25.0	28.4	36.0
0.9	18.2	23.8	27.0	34.1
0.95	17.5	22.7	25.7	32.4
1	16.8	21.7	24.5	30.9
1.5	12.0	15.1	16.9	21.0
2	9.3	11.5	12.8	5.9
2.5	7.6	9.3	10.4	12.8
3	6.4	7.8	8.7	10.7
3.5	5.6	6.7	7.5	9.2
4	4.9	5.9	6.6	8.0
